Sr. No,Study No.,Study Title,Principle Investigator,Current Status,Publication 
47,2018,Effect of IAYT (Integrated Approach of Yoga Therapy) on stress in health care professionals.,Dr Girish Rathod,Completed,No
48,2018,A Comparative Study of Quality of Life of Recovered Schizophrenics and Non- Schizophrenics,Dr. Devendra Save,Completed,No
50,2018,Evaluation of a Krishna Conscious Lifestyle in ISKCON Devotees- A multi-center study.,Dr Komal Dalal,Ongoing,No
51,2018,To study sensitivity of Typhidot IgM test as a quick diagnostic tool in children with clinically compatible enteric fever in urban setting.,Dr. Sandeep Garg,Withdrawn by PI,NA
53,2018,Clinical Profile and Susceptibility pattern of children with  Methicillin-resistant Staphylococcus aureus (MRSA) infection in a tertiary care hospital.,Dr. Anuradha Joshi,Ongoing,No
54,2018,To study clinical and laboratory profile of enteric fever in children in urban population.,Dr. Sandeep Garg,Ongoing,No
55,2018,Study of incidence of breastfeeding failure jaundice in cases of neonatal hyperbilirubinemia in a suburban hospital,Dr. Sandeep Garg,Completed,Yes
56,2018,To study sensitivity of Typhidot IgM test as a quick diagnostic tool in children with clinically compatible enteric fever in urban setting.,Dr. Sandeep Garg,Ongoing,No
57,2018,"A Prospective, Pilot, Randomized, Two arm, Parallel  Group Study  to Assess the Efficacy of  Curcumin and Lycopene on patients with established Types II Diabetes Mellitus.",Dr. Dhaval Dalal,Withdrawn by PI,NA
58,2018,Assessment of epidemiology & antibiotic sensitivity pattern of patients with community acquired urinary tract infection in north Mumbai.,Dr. Kinjal Patel,Completed,No
59,2018,"Retrospective , Non Randomized , single center , observational study on Impact of Nurses training and interventions in Inpatients suffering from thrombophlebitis.",Dr. Suraj Purushothaman,Completed,Yes
60,2018,Comparison of anaemia in health care workers with that of general population – Retrospective Study .,Dr. Dhaval Dalal,Ongoing,No
61,2018,Retrospective Audit of Antibiotic Prescription Pattern of Cardiovascular Thoracic Surgery Department ( CVTS ) in a Tertiary care Hospital of a Mumbai suburb.,Dr Swapnil Gautam,Completed,Yes
62,2018,Clinical profile of dengue in adults and factors warranted the transfer of patients from ward to critical settings at tertiary care hospital in north Mumbai.,Dr Swapnil Gautam,Ongoing,No
63,2018,Retrospective analysis of quality improvement interventions for reduction and prevention of bedsores at tertiary care hospital.,Dr. Suraj Purushothaman,Completed,No
64,2018,"Retrospective analysis of epidemiology, outcome & critical care interventions for the prevention of Ventilator Associated Pneumonia in a tertiary care hospital of North Mumbai.",Dr. Suraj Purushothaman,Completed,No
65,2018,Impact of a “Blood culture collection” bundle to reduce blood culture contamination rates - a Retrospective study from a tertiary care hospital in Mumbai,Dr. Kinjal Patel,Ongoing,No
66,2018,Subjective Sensory Experience during Topical Phacoemulsification.,Dr. Suraj Bhagde,Ongoing,No
67,2019,A prospective study of epidemiology and microbiological profile of patients having keratitis.,Dr. Kinjal Patel,Completed,Yes
68,2019,Analyses of methicillin resistant Staphylococcus aureus (MRSA) colonization in females admitted in maternity unit at tertiary care hospital.,Dr. Kinjal Patel,Completed,Yes
