Sr. No,Study No.,Study Title,Principle Investigator,Current Status,Publication 
186,2022,"A prospective, single center, questionnaire based, cross sectional, observational study to investigate the association of obesity with eating habits and physical activity among children and adolescents.",Dr.Ameya Joshi,Ongoing,No
187,2022,Clinical morphology and AS-OCT analysis of trabeculectomy blebs a prospective single centre observational study.,Dr.Vishakha Patil,Ongoing,No
188,2022,Prevalence of glaucoma in obstructive sleep apnoea patients.,Dr.Druti Varde,Ongoing,No
189,2022,To compare the efficacy of Vitamin E versus Saroglitazar versus Silymarin versus Trimethyglycine (TMG) in Non-alcoholic fatty liver disease (NAFLD) and Non- alcoholic Steatohepatitis (NASH) patients .,Dr.Ashwath Vasudevan,Ongoing,No
190,2022,The Indian Biobank Project: Study of Health and Disease among Indians,Dr.Dhaval Dalal,Ongoing,No
191,2022,"A Single centre, multi arm , prospective, observational study to evaluate the relationship between gut-microbiome and different types of lung cancers",Dr.Nirmal Raut,Ongoing,No
192,2022,"Prospective, cross sectional, observational study to analyze the correlation between Emotional Intelligence and burnout syndrome among health care workers.",Dr.Vijaykumar Gawali,Ongoing,No
193,2022,Hospital Based Cancer Registries in India,Dr.Nirmal Raut,Ongoing,No
194,2022,An observational cohort study to evaluate the association between lifestyle behaviour of medical doctors and lifestyle disease profile,Dr.Ajay Godse,Completed,Yes
195,2022,"A retro-prospective, single centre study to correlate outcomes using OncoPredikt, an (AI-enabled platform) to predict genomic signatures from histopathological images in lung adenocarcinoma patients.",Dr.Nirmal Raut,Ongoing,No
196,2023,Impact of pulmonary rehabilitation on lung functions and quality of life in chronic respiratory disease patients-Retrospective study,Dr.Bhagyashree Karande,Ongoing,No
197,2023,Correlation between Oncotype Dx and Magee equation in Indians with Breast Cancer-Retrospective study,Dr.Nirmal Raut,Ongoing,No
198,2023,"US-APR2020-01 A Double-Blind, Randomized, Placebo-Controlled Phase 2 Clinical Trial to Evaluate Safety and Efficacy of US-APR2020 in Subjects with Chronic Kidney Disease Stage IV.",Dr.Jyotsna Zope,Completed,No
199,2023,The Impact of spiritual care intervention on Quality of Life in Cancer Patients.,Dr.Nirmal Raut,Ongoing,No
200,2023,Prospective observational study to correlate total serum IgE levels with clinical parameters and outcomes in case of wheezing associated lower respiratory tract infection in children in age group 6 months– 5 years.,Dr.Diksha Singh,Ongoing,No
201,2023,Study of association of diet & lifestyle related risk factors in functional constipation in urban Indian children,Dr.Pranali Mahajan,Ongoing,No
202,2023,"A two arm, prospective, interventional, single center, comparative study to observe the effects of structured self-perineal care education on episiotomy care, pain and wound healing outcome among Bhaktivedanta hospital and research institute.",Mrs.Suchitra Dalvi,Ongoing,No
203,2023,"A two arm, prospective, single centre , randomized, controlled, interventional study to assess effect of Bhaktivedanta mantra audio therapy on outcome of critically ill patients in intensive care unit of tertiary care centre.",Dr.Komal Dalal,Ongoing,No
204,2023,"A prospective, comparative, single centre, proof-of-concept study to evaluate safety and efficacy of SHARP-veda as add on therapy to the standard of care in coronary artery calcification in comparison with control arm having standard of care.",Dr.Sandeep Patil,Ongoing,No
205,2023,Coronary artery calcium scoring as screening tool for ischemic heart disease and it’s correlation with risk markers in type 2 diabetes mellitus,Dr.Bhushan Waykole,Ongoing,No
206,2023,"Utility of ascvd risk score, Framingham risk score and CT coronary calcium score in known DM patient with no history Of ischemic heart disease in prediction of heart disease",Dr. Siddhesh Ravindra Patil,Ongoing,No
207,2023,Impact of pterygium on dry eye parameters and pattern of meibomian glands.,Dr.Vrushali Andraskar,Ongoing,No
208,2023,Optical Coherence Tomography study of post phacoemulsification healed corneal wounds.,Dr.Pranami Dewan,Ongoing,No
209,2023,"A retrospective, single centre, two-arm, electronic medical record-based study to evaluate ASCVD risk calculator in predicting risk of Acute Coronary Syndrome in patients with Type 2 Diabetes Mellitus.",Dr.Ameya Joshi,Completed,Yes
210,2023,A retrospective single centre study to analyse the adverse events during intra operative and post operative period in patients who have received anaesthesia at a tertiary care hospital.,Dr.Kshama Shah,Ongoing,No
211,2023,"A retrospective, single centre study to evaluate the intra-operative and post- operative mortality and morbidity in high- risk cardiac patients coming for non-cardiac surgeries at a tertiary care facility.",Dr.Shilpa Tiwaskar,Ongoing,No
212,2023,"A single centre, retrospective study to analyse the factors determining choice of anaesthesia procedures in patients undergoing surgery for femur fracture at tertiary care centre.",Dr.Shilpa Tiwaskar,Completed,Yes
213,2023,"A retrospective, single centre study of the histopathological analysis of gall bladder biopsies in patients at a tertiary care centre.",Dr.Sarang Degloorkar,Completed,Yes
214,2023,"A prospective, observational, multi-centre single arm study to evaluate safety efficacy of thermal ablation in patients with thyroid nodules and its recurrence.",Dr.Gaurav Gangwani,Ongoing,No
215,2023,"Prospective, comparative, interventional, single centre, pilot study to compare regression of sensory block of 0.75 % ropivacaine heavy with 0.5% bupivacaine heavy after subarachnoid block in pregnant patients coming for caesarean section.",Dr.Shilpa Tiwaskar,Ongoing,No
216,2023,"A prospective, two arm, single centre, controlled, interventional study to assess the effect of Bhaktivedanta mantra audio therapy on infants in Neonatal Intensive care unit and their parents in a tertiary care institute.",Dr.Komal Dalal,Ongoing,No
217,2023,The Etiology of Intensive care Unit Readmission and Evaluation of Stability and Workload Index for Transfer (SWIFT) Score as a Predictor of ICU Readmission.,Dr.Sagar Sisodiya,Ongoing,No
218,2023,"A retrospective, single centre study to analyse the type of anaesthesia for Hysteroscopic procedures and review of complications.",Dr.Kshama Shah,Completed,Yes
219,2023,A single centre retrospective study analysing 50 cases of Taylor’s approach to spinal anaesthesia (TASA) in patients operated for infraumbilical surgeries with difficult lumbar approach for neuraxial blockade,Dr.Vivek Kulkarni,Completed,Yes
220,2023,"A two arm, prospective, single centre, interventional, randomized, controlled study to assess effect of Bhaktivedanta mantra and music audio therapy on outcome of blood sugar levels and stress levels, in patients diagnosed with gestational diabetes and pregnant women’s having diabetes risk factors in a tertiary care institute.",Dr.Komal Dalal,Ongoing,No
221,2023,"A single centre, retrospective study to audit the NtProBNP screening in patients with Type-2 Diabetes Mellitus (T2DM) and prediabetes attending the outpatient department (OPD) of tertiary care hospital.",Dr.Ameya Joshi,Completed,Yes
223,2023,A single centre retrospective study on hyponatremia-A diversified disorder,Dr.Namrata Rao,Ongoing,No
224,2023,"A retrospective, single center study to audit the 5S approach of physical activity among the sub urban population of Mumbai with Type 2 Diabetes Mellitus.",Dr.Ameya Joshi,Completed,Yes
225,2023,Effectiveness of structured teaching programme on human rights of mentally ill among nurses working in selected hospital at Maharashtra.,Mrs.Yogmaya Suman,Completed,No
226,2023,"A two arm, single centre, prospective, randomized, interventional study to evaluate the effect of ERAS pathway Vs traditional methods in patients undergoing Lower Segment Cesarian Section (LSCS).PI: Dr Kamalapriya Thiyagarajan, Dr.Yogini Patil, Dr.vaishali Choudhary,",Dr.Kshama Shah,Completed,No
227,2023,Prospective observational comparative single centre study to evaluate the impact of maternal obesity on maternal and fetal outcomes”.PI:,Dr.Madiha Memon,Ongoing,No
228,2023,"A prospective, comparative, single Centre study of platelet parameters (Counts and Indices) in cases with thrombocytopenia due to different clinical severity grades of dengue in comparison to normal platelet parameters in pediatric population (1-16 Years)”PI :",Dr.Suhas Patil,Ongoing,No
229,2023,A registry to collect characteristics and outcomes from patients with solid tumors profiled with a next generation sequencing test (WAYFIND-R)PI :,Dr.Nirmal Raut,Ongoing,No
230,2023,Study of co-relation between inflammatory markers and various severity grades of meconium aspiration syndrome (MAS) & their outcome.PI :,Dr.Deepali Shukla,Ongoing,No
231,2023,"An observational, comparative study to evaluate correction of pre-existing astigmatism using paired opposite clear corneal incisions with and without limbal, relaxing incisions in cataract patients undergoing topical phacoemulsification. PI:",Dr.Priyanka Maurya,Ongoing,No
232,2023,“Study of dyslipidemia in overweight and obese children in age group of 5-18 yrs and it's corelation with anthropometric parameters and visceral fat.PI:,Dr.Riddhi Jadhav,Ongoing,No
233,2023,"An observational, crosssectional study to find ophthalmic disorders and their risk factors in children with developmental delay at a tertiary centre in western India.PI:",Dr.Gayatri Pawar,Ongoing,No
234,2023,The Indian Biobank Project: Study of Health and Disease Among Indians,Dr.Dhaval Dalal,Ongoing,No
235,2023,"Prospective, single center observational study of co-relating hypomagnesemia with clinical outcome in critically ill patient",Dr.Krishna Sawale,Ongoing,No
236,2024,Qualitative & quantitative assessment of sleep  in acute coronary syndrome patients & it’s correlation with the risk of acute coronary event- a cross sectional observational study .,Dr.Harikrishna Sharma,Ongoing,No
237,2024,"Prospective observational study for prediction of pre-eclampsia at 11 to 14 weeks of gestation using mean arterial pressure, uterine artery doppler and pregnancy- associated plasma protien-a",Dr.Gargee Sharma,Ongoing,No
238,2024,An observational cross sectional study of association between nephrolithiasis and syndrome x.,Dr.Samit Doshi,Ongoing,No
239,2024,"Prospective, multicentre open clinical study to access the safety, performance, and efficacy of the AGM100@ in patients suffering with respiratory and metabolic stress LD-AGM100.",Dr.Ajay Godse,Ongoing,No
240,2024,"A single center, prospective, single arm, interventional, open labelled, pilot study to understand the efficacy of the intake of oyster mushroom-based soup mix for plasma, glucose control in pre diabetic patients",Dr.Dhaval Dalal,Ongoing,No
241,2024,"Assessment of risk factors, risk predictors, and trigger factors for the development of acute coronary syndrome in patients between 18-45 years of age- an observational, cross- sectional single center study",Dr.Sandeep Patil,Ongoing,No
242,2024,"A prospective, interventional, randomised, two-arm, single centre study to evaluate the effect of ten-on-ten syrup on children with attention deficit hyperactivity disorder. (ADHD)",Dr.Omkar Hajirnis,Ongoing,No
243,2024,"A prospective, interventional, single centre study to p redict the validity of personalized therapy utilizing breast cancer patient derived advanced ex vivo functional 3D cancer models",Dr.Nirmal Raut Terminated by SponsorNA,,
244,2024,"A prospective, multi-centric, observational study of patients experiencing Near-Death Experience in tertiary care centers in India.",Dr.Komal Dalal,Ongoing,No
245,2024,"A single centric, retrospective study to evaluate the association between spirometry values and presence as well as severity of Obstructive Sleep Apnea (OSA)",Dr.Ajay Godse,Ongoing,No
247,2024,"A single-center, prospective, observational study to evaluate the effect of acupuncture treatment on lumbar disc pain and functional fitness in patients diagnosed with herniated lumbar disc disease.",Dr.Komal Dalal,Ongoing,No
248,2024,"A prospective , observational study to analyze the factor predicting the role of double J stenting technique in management of acute pyelonephritis",Dr.Vikas kumar,Ongoing,No
249,2024,"A prospective, interventional, single-center study to assess the impact of spiritual care practices and counseling on changes in stress levels, anxiety levels along with sleep quality and cognitive functions among ICU, IMCU, CCU nurses.",Dr.Komal Dalal,Ongoing,No
250,2024,Epidemiology and microbiology of bloodstream infection- a multicentric observational study in Mumbai Region.,Dr.Sumeer Kaul.,Ongoing,No
251,2024,"A Prospective, Single-Centre Interventional Study to Assess the Impact of Pranayama and Meditation on psychological and physiological wellbeing of Paramedical Staff.",Dr Jyotsana Karande,Ongoing,No
252,2024,"A prospective, observational study to compare the effectiveness of self- administered patient questionnaires, the International Prostate Symptom Score (IPSS) and the Visual Prostate Symptom Score (VPSS), in evaluating lower urinary tract symptoms in patients with benign prostatic enlargement.",Dr. Siva Prasad Gourabathini,Ongoing,No
253,2024,Hepatitis B vaccination drive in a private hospital setup: An experience.-Retrospective studyMs,"Anushka Bhivandkar,",Ongoing,No
254,2024,A Single centre retrospective study to evaluate the changing treand and prevalvence of malaria in Thane district,Dr.Suraj Purushothaman,Ongoing,No
255,2024,"A single-center, prospective, interventional, randomized, two-arm, comparative pilot study to evaluate the effect of post-operative saline nebulization on upper respiratory dysfunction in patients undergoing general anesthesia.",Dr.Vivek Kulkarni,Ongoing,No
256,2025,"A single-centre, prospective, two-arm, observational, randomized study to investigate the causative factors of postoperative sore throat (POST) and assess whether maintaining endotracheal tube cuff pressure between 20-30 cm H2O and supraglottic airway device cuff pressure up to 60 cm H2O influences the incidence of POST.",Dr. Shilpa Tiwaskar,Ongoing,No
257,2025,"A prospective, single-center, randomized, interventional, open-label, two-arm study to assess the impact of short term gut microbiome modulation in patients undergoing spinal surgery.",Dr Vivek Kulkarni,Ongoing,No
260,2025,A Single Centre prospective Observational Two Arm study using Dexmedetomidine as a premedication by Inhalational and Intravenous Route for Flexible Bronchoscopy.,Dr.Sowmya Nagari,Ongoing,No
261,2025,An Observational control study to evaluate corneal topographic changes in patients with allergic conjunctivitis.,Dr. Priya Singh,Ongoing,No
262,2025,"Prospective, Observational, Single center study to evaluate the foeto-maternal outcomes in Premature Rupture of Membranes and Preterm Premature Rupture of Membranes.",Dr. Afsana Mansuri,Ongoing,No
263,2025,A prospective hospital based observational study about region specific epidemiology for extended fever in North Mumbai sub-urban region.,Dr. Neha Nemani,Ongoing,No
264,2025,"A Study on the correlation of free T3/free T4 ratio with lipid profile hepatic fat and , visceral fat pad in adults.",Dr. Shubhankar Linge,Ongoing,No
265,2025,A prospective observational single centre study of comparision of ET-CPAP/PS method and T-piece method for spontaneous breathing trial to predict successful extubation in very low birth weight neonates.,Dr. Vidushi Sinha,Ongoing,No
266,2025,A single Centre prospective observational study aimed at evaluating feto-maternal outcome in meconium-stained liquor and identifying maternal factors associated with meconium-stained liquor.,Dr. Aleena Ahmad,Ongoing,No
267,2025,"A prospective, single center, observational study on the visual performance of an enhanced monofocal IOL post  phaco- emulsification cataract surgery.",Dr. Shubham Naik,Ongoing,No
268,2025,"A single centre, Prospective, observational study to evaluate the effectiveness of electronic versus paper-based bladder diaries in the clinical assessment of lower urinary tract symptoms",Dr AjayKumar Gajengi,Ongoing,No
269,2025,"A single- centre, prospective, observational, two arm study to compare effects of intravenous fentanyl with intravenous nalbuphine for laparoscopic hysterectomy in terms of intraoperative hemodynamics, postoperative analgesia and postoperative side-effects.",Dr. Poornima Raut,Ongoing,No
270,2025,Single centre observational study on the association  between antenatal cortico-steroid administration and neonatal outcome with focus on  hypoglycemia in late preterm infants  (34-36 week 6 days).,Dr. Satyam Tiwari,Ongoing,No
271,2025,"A single centre, Prospective, Open-label, nonrandomized, interventional study to Evaluate the Impact of Emotional Intelligence Training and Management on Doctor–Patient Communication, Adherence, and Satisfaction in a Tertiary Care Hospital of District Thane, Maharashtra.",Dr. Ila Ghosh,Ongoing,No
272,2025,A Comparative Observational Prospective Study To Assess Outcome In Monopolar Transurethral Resection Of The Prostate (TURP) Vs Holmium Laser Enucleation Of The Prostate (HOLEP) In Benign Prostatic Hyperplasia,Dr. Harshad Kavad,Ongoing,No
273,2025,"A Single Center Observational Study Of Etiological Profile, Clinical Characteristics, Adherence To GDMT and Short-Term Outcome In HFrEF Patient In Tertiary Care Centre",Dr. Dharmesh Upadhyay,Ongoing,No
274,2025,"A single centre, retrospective, cross-sectional study on the effect of social media on mental health of students in a selected rural community area in Thane District, Maharashtra.",Dr. Bhadrapriya Parab,Ongoing,No
275,2025,"Dozee as a Screening Tool for Sleep Apnea Detection, Classification and Sleep Staging .",Dr. Ajay Godse,Ongoing,No
276,2025,Clinical Validation of Dozee’s Contactless Vital Sign Measurements,Dr. Prashant Dhotre,Ongoing,No
277,2025,"A prospective, interventional, single-center study to assess the impact of mantra meditation and counseling on changes in stress levels, anxiety levels along with sleep quality, and cognitive functions among Resident Medical Officer.",Dr. Komal Dalal,Ongoing,No
